Verifying 2552 unverified appliances
[50/2552] verified=17 skipped=33
[100/2552] verified=48 skipped=52
[150/2552] verified=79 skipped=71
[200/2552] verified=95 skipped=105
[250/2552] verified=103 skipped=147
[300/2552] verified=105 skipped=195
[350/2552] verified=127 skipped=223
[400/2552] verified=157 skipped=243
[450/2552] verified=198 skipped=252
[500/2552] verified=212 skipped=288
[550/2552] verified=224 skipped=326
[600/2552] verified=254 skipped=346
[650/2552] verified=267 skipped=383
[700/2552] verified=285 skipped=415
[750/2552] verified=285 skipped=465
[800/2552] verified=294 skipped=506
[850/2552] verified=299 skipped=551
[900/2552] verified=303 skipped=597
[950/2552] verified=315 skipped=635
[1000/2552] verified=325 skipped=675
[1050/2552] verified=347 skipped=703
[1100/2552] verified=365 skipped=735
[1150/2552] verified=387 skipped=763
[1200/2552] verified=419 skipped=781
[1250/2552] verified=433 skipped=817
[1300/2552] verified=442 skipped=858
[1350/2552] verified=464 skipped=886
[1400/2552] verified=503 skipped=897
[1450/2552] verified=527 skipped=923
[1500/2552] verified=527 skipped=973
[1550/2552] verified=542 skipped=1008
[1600/2552] verified=561 skipped=1039
[1650/2552] verified=587 skipped=1063
[1700/2552] verified=595 skipped=1105
[1750/2552] verified=608 skipped=1142
[1800/2552] verified=623 skipped=1177
[1850/2552] verified=642 skipped=1208
[1900/2552] verified=667 skipped=1233
[1950/2552] verified=669 skipped=1281
[2000/2552] verified=672 skipped=1328
[2050/2552] verified=676 skipped=1374
[2100/2552] verified=688 skipped=1412
[2150/2552] verified=699 skipped=1451
[2200/2552] verified=727 skipped=1473
[2250/2552] verified=776 skipped=1474
[2300/2552] verified=823 skipped=1477
[2350/2552] verified=841 skipped=1509
[2400/2552] verified=881 skipped=1519
[2450/2552] verified=916 skipped=1534
[2500/2552] verified=952 skipped=1548
[2550/2552] verified=970 skipped=1580

Done. 971 appliances will graduate to verified.
